# Constructed from biom file
#OTU ID	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
4b5eeb300368260019c1fbc7a3c718fc	2175.0	0.0	0.0	0.0	0.0	2806.0	3309.0	2595.0	10.0	10.0	23.0	0.0	0.0	0.0	14.0	0.0	349.0	0.0	6.0	11.0	0.0	0.0	55.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe30ff0f71a38a39cf1717ec2be3a2fc	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	32.0	996.0	47.0	121.0	80.0	0.0	0.0	0.0	22.0	16.0	0.0	330.0	335.0	160.0	0.0	0.0	0.0	0.0	0.0	374.0	3323.0	1723.0	1341.0
d29fe3c70564fc0f69f2c03e0d1e5561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.0	779.0	95.0	104.0	341.0	230.0	407.0	494.0	0.0	46.0	144.0	70.0	35.0	3.0	1269.0	1712.0	417.0	216.0	140.0	107.0	215.0	148.0	117.0	215.0	500.0	465.0
868528ca947bc57b69ffdf83e6b73bae	0.0	2249.0	2107.0	1177.0	1722.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	10.0	0.0	0.0	9.0
154709e160e8cada6bfb21115acc80f5	803.0	1174.0	694.0	406.0	242.0	1081.0	930.0	1623.0	0.0	0.0	0.0	0.0	3.0	12.0	0.0	0.0	234.0	0.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1d2e5f3444ca750c85302ceee2473331	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	27.0	51.0	0.0	0.0	1181.0	25.0	36.0	76.0	5.0	0.0	16.0	15.0	0.0	0.0	124.0	355.0	84.0	529.0	454.0	254.0	343.0	374.0	532.0	940.0	1214.0	541.0
0305a4993ecf2d8ef4149fdfc7592603	1197.0	647.0	964.0	909.0	531.0	415.0	334.0	243.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	117.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cb2fe0146e2fbcb101050edb996a0ee2	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	82.0	227.0	96.0	49.0	0.0	274.0	318.0	105.0	0.0	75.0	145.0	59.0	24.0	0.0	1392.0	366.0	1426.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
997056ba80681bbbdd5d09aa591eadc0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	10.0	0.0	0.0	632.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	28.0	33.0	176.0	42.0	107.0	203.0	500.0	169.0	622.0	887.0	518.0
3c9c437f27aca05f8db167cd080ff1ec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	17.0	45.0	10.0	180.0	118.0	687.0	157.0	404.0	78.0	167.0	137.0	808.0
